desired_heading,heading,steer_output,desired_velocity,velocity,throttle_output
0.0,0.01493693194317087,-0.01493693194317087,0,7.997259003744829e-08,-1.2395751455804483e-08
-0.005867850814451509,0.01493693194317087,-0.024126243185876257,1.9294342694002586,3.5659595088239766e-08,0.4034350986267938
-0.020355724116417614,0.01493693194317087,-0.04189929952211998,2.9236948421602285,6.306382115407621e-08,0.629928055181139
-0.030488291617319436,0.01493693194317087,-0.054331860898070024,2.9999999351857016,3.209167854535891e-08,0.6985956500022583
-0.03317911673994906,0.006156110640813476,-0.04878897732735273,2.9999999351857016,2.091835741137385,0.3916856166882334
-0.027783478422020273,-0.008916794921506004,-0.027182562966474057,2.999999984966578,2.8902614696001443,0.26955440355506255
-0.017034398619834364,-0.0208211260344575,-0.004135675985510705,2.9999999773160786,3.00959960203203,0.2509133188112347
-0.007935039889671598,-0.02469496015608676,0.008454863493328569,2.9999999866847484,2.9250737690378457,0.2650417750506999
0.00018762144431368514,-0.023173229909215484,0.015119199923124492,2.9999999767907806,2.83558188722307,0.2814011168710076
0.005702623929705646,-0.019461848614081057,0.017304397347406183,2.999999993497694,2.802479644333235,0.28913187883319214
0.01034634140454769,-0.014093447448402028,0.017239042099432875,2.9999999900402634,2.8038369486295758,0.29179647482650706
0.013637023027982175,-0.008683502010015063,0.01581881522662344,2.9999999930341708,2.8181663522902847,0.2921535301064256
0.016055364378368107,-0.0030194920439318403,0.013304565819848582,2.9999999752962023,2.835566144554435,0.2920437714970527
0.011876424245633135,0.0015100496587405947,0.004286523430638567,2.99999997893087,2.849088392205657,0.29211091580424076
-0.0042696348031080415,0.0038188346436326195,-0.015733677559027846,2.999999989077715,2.8600862525045008,0.29239245835277045
-0.03440512703854528,0.00048467500008776487,-0.044764263138463115,2.999999974882174,2.8706956627878153,0.29281200512280653
-0.06540297533974847,-0.010337856638874985,-0.06664872143737559,2.9999999762600296,2.8783987189442612,0.2933363276124145
-0.09597825997171375,-0.029338978384372334,-0.07976897503316377,2.999999980760012,2.8861247058391464,0.2937836288595348
